Results for model ViTamin-XL-384 - datacomp1b:
Top-1 Precision: 0.2601880877742947 	 Recall: 0.2601880877742947 	 Accuracy: 0.2601880877742947
Top-2 Precision: 0.22622779519331243 	 Recall: 0.45245559038662486 	 Accuracy: 0.45245559038662486
Top-3 Precision: 0.18982932776036307 	 Recall: 0.5694879832810867 	 Accuracy: 0.5694879832810867
Top-4 Precision: 0.1648380355276907 	 Recall: 0.6593521421107628 	 Accuracy: 0.6593521421107628
Top-5 Precision: 0.1393939393939404 	 Recall: 0.696969696969697 	 Accuracy: 0.696969696969697
Top-6 Precision: 0.12086381051898408 	 Recall: 0.7251828631138976 	 Accuracy: 0.7251828631138976
Top-7 Precision: 0.10852366024779762 	 Recall: 0.7596656217345873 	 Accuracy: 0.7596656217345873
Top-8 Precision: 0.09887669801462905 	 Recall: 0.7910135841170324 	 Accuracy: 0.7910135841170324
Top-9 Precision: 0.09056078021595415 	 Recall: 0.8150470219435737 	 Accuracy: 0.8150470219435737
Top-10 Precision: 0.08422152560083562 	 Recall: 0.8422152560083594 	 Accuracy: 0.8422152560083594
Top-11 Precision: 0.07874988125771942 	 Recall: 0.8662486938349008 	 Accuracy: 0.8662486938349008
Top-12 Precision: 0.07384186694531558 	 Recall: 0.8861024033437827 	 Accuracy: 0.8861024033437827
Top-13 Precision: 0.06920665541355339 	 Recall: 0.8996865203761756 	 Accuracy: 0.8996865203761756
Top-14 Precision: 0.0657560829974617 	 Recall: 0.9205851619644723 	 Accuracy: 0.9205851619644723
Top-15 Precision: 0.06179031696273207 	 Recall: 0.9268547544409613 	 Accuracy: 0.9268547544409613
Top-16 Precision: 0.05832027168234065 	 Recall: 0.9331243469174504 	 Accuracy: 0.9331243469174504
Top-17 Precision: 0.055012600651547 	 Recall: 0.93521421107628 	 Accuracy: 0.93521421107628
Top-18 Precision: 0.05224660397074286 	 Recall: 0.9404388714733543 	 Accuracy: 0.9404388714733543
Top-19 Precision: 0.04993675411098367 	 Recall: 0.9487983281086729 	 Accuracy: 0.9487983281086729
Top-20 Precision: 0.048014629049111315 	 Recall: 0.9602925809822361 	 Accuracy: 0.9602925809822361
Top-21 Precision: 0.04612628750559864 	 Recall: 0.9686520376175548 	 Accuracy: 0.9686520376175548
Top-22 Precision: 0.04412463189892729 	 Recall: 0.9707419017763845 	 Accuracy: 0.9707419017763845
Top-23 Precision: 0.04247876061968994 	 Recall: 0.9770114942528736 	 Accuracy: 0.9770114942528736
Top-24 Precision: 0.04070881226053637 	 Recall: 0.9770114942528736 	 Accuracy: 0.9770114942528736
Top-25 Precision: 0.0390804597701143 	 Recall: 0.9770114942528736 	 Accuracy: 0.9770114942528736
Top-26 Precision: 0.03761755485893501 	 Recall: 0.9780564263322884 	 Accuracy: 0.9780564263322884
Top-27 Precision: 0.03626301327450794 	 Recall: 0.9791013584117032 	 Accuracy: 0.9791013584117032
Top-28 Precision: 0.03504254366323295 	 Recall: 0.9811912225705329 	 Accuracy: 0.9811912225705329
Top-29 Precision: 0.03397830865131749 	 Recall: 0.9853709508881923 	 Accuracy: 0.9853709508881923
Top-30 Precision: 0.03291536050156815 	 Recall: 0.987460815047022 	 Accuracy: 0.987460815047022
Top-31 Precision: 0.03192098965180145 	 Recall: 0.9895506792058516 	 Accuracy: 0.9895506792058516
Top-32 Precision: 0.03098876698014629 	 Recall: 0.9916405433646813 	 Accuracy: 0.9916405433646813
Top-33 Precision: 0.03004971343529398 	 Recall: 0.9916405433646813 	 Accuracy: 0.9916405433646813
Top-34 Precision: 0.029258098223616122 	 Recall: 0.9947753396029259 	 Accuracy: 0.9947753396029259
Top-35 Precision: 0.028452007762352495 	 Recall: 0.9958202716823407 	 Accuracy: 0.9958202716823407
Top-36 Precision: 0.027690700104493732 	 Recall: 0.9968652037617555 	 Accuracy: 0.9968652037617555
Top-37 Precision: 0.02694230280437198 	 Recall: 0.9968652037617555 	 Accuracy: 0.9968652037617555
Top-38 Precision: 0.026233294835836144 	 Recall: 0.9968652037617555 	 Accuracy: 0.9968652037617555
Top-39 Precision: 0.025560646250301338 	 Recall: 0.9968652037617555 	 Accuracy: 0.9968652037617555
Top-40 Precision: 0.02492163009404359 	 Recall: 0.9968652037617555 	 Accuracy: 0.9968652037617555
Top-41 Precision: 0.024313785457603234 	 Recall: 0.9968652037617555 	 Accuracy: 0.9968652037617555
Top-42 Precision: 0.023734885803851764 	 Recall: 0.9968652037617555 	 Accuracy: 0.9968652037617555
Top-43 Precision: 0.023207212461422107 	 Recall: 0.9979101358411703 	 Accuracy: 0.9979101358411703
Top-44 Precision: 0.02267977581457243 	 Recall: 0.9979101358411703 	 Accuracy: 0.9979101358411703
Top-45 Precision: 0.022175780796470382 	 Recall: 0.9979101358411703 	 Accuracy: 0.9979101358411703
Top-46 Precision: 0.021693698605242704 	 Recall: 0.9979101358411703 	 Accuracy: 0.9979101358411703
Top-47 Precision: 0.021276595744680618 	 Recall: 1.0 	 Accuracy: 1.0
Top-48 Precision: 0.020833333333333287 	 Recall: 1.0 	 Accuracy: 1.0
Top-49 Precision: 0.02040816326530615 	 Recall: 1.0 	 Accuracy: 1.0
Top-50 Precision: 0.019999999999999667 	 Recall: 1.0 	 Accuracy: 1.0

Results for model nllb-clip-large-siglip - mrl:
Top-1 Precision: 0.15151515151515152 	 Recall: 0.15151515151515152 	 Accuracy: 0.15151515151515152
Top-2 Precision: 0.11442006269592477 	 Recall: 0.22884012539184953 	 Accuracy: 0.22884012539184953
Top-3 Precision: 0.09613375130616486 	 Recall: 0.2884012539184953 	 Accuracy: 0.2884012539184953
Top-4 Precision: 0.08934169278996865 	 Recall: 0.3573667711598746 	 Accuracy: 0.3573667711598746
Top-5 Precision: 0.09090909090909163 	 Recall: 0.45454545454545453 	 Accuracy: 0.45454545454545453
Top-6 Precision: 0.08707767328457003 	 Recall: 0.522466039707419 	 Accuracy: 0.522466039707419
Top-7 Precision: 0.08329601433049724 	 Recall: 0.5830721003134797 	 Accuracy: 0.5830721003134797
Top-8 Precision: 0.07758620689655173 	 Recall: 0.6206896551724138 	 Accuracy: 0.6206896551724138
Top-9 Precision: 0.07256472773714254 	 Recall: 0.6530825496342738 	 Accuracy: 0.6530825496342738
Top-10 Precision: 0.06687565308255031 	 Recall: 0.6687565308254964 	 Accuracy: 0.6687565308254964
Top-11 Precision: 0.06307590006649641 	 Recall: 0.6938349007314525 	 Accuracy: 0.6938349007314525
Top-12 Precision: 0.05938697318007717 	 Recall: 0.7126436781609196 	 Accuracy: 0.7126436781609196
Top-13 Precision: 0.05634595289767791 	 Recall: 0.7324973876698014 	 Accuracy: 0.7324973876698014
