Results for model EVA02-E-14-plus - laion2b_s9b_b144k:
Top-1 Precision: 0.2497387669801463 	 Recall: 0.2497387669801463 	 Accuracy: 0.2497387669801463
Top-2 Precision: 0.23145245559038663 	 Recall: 0.46290491118077326 	 Accuracy: 0.46290491118077326
Top-3 Precision: 0.1856495994427036 	 Recall: 0.5569487983281086 	 Accuracy: 0.5569487983281086
Top-4 Precision: 0.1588296760710554 	 Recall: 0.6353187042842215 	 Accuracy: 0.6353187042842215
Top-5 Precision: 0.13772204806687677 	 Recall: 0.6886102403343782 	 Accuracy: 0.6886102403343782
Top-6 Precision: 0.12051549982584579 	 Recall: 0.723092998955068 	 Accuracy: 0.723092998955068
Top-7 Precision: 0.10762800417972779 	 Recall: 0.7533960292580982 	 Accuracy: 0.7533960292580982
Top-8 Precision: 0.09783176593521421 	 Recall: 0.7826541274817137 	 Accuracy: 0.7826541274817137
Top-9 Precision: 0.08951584813653927 	 Recall: 0.8056426332288401 	 Accuracy: 0.8056426332288401
Top-10 Precision: 0.0829676071055379 	 Recall: 0.8296760710553814 	 Accuracy: 0.8296760710553814
Top-11 Precision: 0.07703999240049508 	 Recall: 0.8474399164054337 	 Accuracy: 0.8474399164054337
Top-12 Precision: 0.07201323580633973 	 Recall: 0.864158829676071 	 Accuracy: 0.864158829676071
Top-13 Precision: 0.0681617233341385 	 Recall: 0.8861024033437827 	 Accuracy: 0.8861024033437827
Top-14 Precision: 0.06448723690102943 	 Recall: 0.9028213166144201 	 Accuracy: 0.9028213166144201
Top-15 Precision: 0.060884709160572495 	 Recall: 0.9132706374085684 	 Accuracy: 0.9132706374085684
Top-16 Precision: 0.05786311389759666 	 Recall: 0.9258098223615465 	 Accuracy: 0.9258098223615465
Top-17 Precision: 0.05525846702317404 	 Recall: 0.9393939393939394 	 Accuracy: 0.9393939393939394
Top-18 Precision: 0.05253686288169143 	 Recall: 0.9456635318704284 	 Accuracy: 0.9456635318704284
Top-19 Precision: 0.05021173623714547 	 Recall: 0.9540229885057471 	 Accuracy: 0.9540229885057471
Top-20 Precision: 0.047962382445140575 	 Recall: 0.9592476489028213 	 Accuracy: 0.9592476489028213
Top-21 Precision: 0.045927252823805324 	 Recall: 0.9644723092998955 	 Accuracy: 0.9644723092998955
Top-22 Precision: 0.044172128811627964 	 Recall: 0.9717868338557993 	 Accuracy: 0.9717868338557993
Top-23 Precision: 0.04234246513107063 	 Recall: 0.9738766980146291 	 Accuracy: 0.9738766980146291
Top-24 Precision: 0.04070881226053637 	 Recall: 0.9770114942528736 	 Accuracy: 0.9770114942528736
Top-25 Precision: 0.039122257053290886 	 Recall: 0.9780564263322884 	 Accuracy: 0.9780564263322884
Top-26 Precision: 0.03769793424965923 	 Recall: 0.9801462904911181 	 Accuracy: 0.9801462904911181
Top-27 Precision: 0.03645651921514032 	 Recall: 0.9843260188087775 	 Accuracy: 0.9843260188087775
Top-28 Precision: 0.03519181967457793 	 Recall: 0.9853709508881923 	 Accuracy: 0.9853709508881923
Top-29 Precision: 0.03397830865131749 	 Recall: 0.9853709508881923 	 Accuracy: 0.9853709508881923
Top-30 Precision: 0.03288052943225433 	 Recall: 0.9864158829676071 	 Accuracy: 0.9864158829676071
Top-31 Precision: 0.031819867192503244 	 Recall: 0.9864158829676071 	 Accuracy: 0.9864158829676071
Top-32 Precision: 0.030858150470219437 	 Recall: 0.987460815047022 	 Accuracy: 0.987460815047022
Top-33 Precision: 0.03004971343529398 	 Recall: 0.9916405433646813 	 Accuracy: 0.9916405433646813
Top-34 Precision: 0.029165898334255983 	 Recall: 0.9916405433646813 	 Accuracy: 0.9916405433646813
Top-35 Precision: 0.028332586953276517 	 Recall: 0.9916405433646813 	 Accuracy: 0.9916405433646813
Top-36 Precision: 0.0275745965401143 	 Recall: 0.9926854754440961 	 Accuracy: 0.9926854754440961
Top-37 Precision: 0.026829337174164965 	 Recall: 0.9926854754440961 	 Accuracy: 0.9926854754440961
Top-38 Precision: 0.026150800197987604 	 Recall: 0.9937304075235109 	 Accuracy: 0.9937304075235109
Top-39 Precision: 0.025533853120059933 	 Recall: 0.9958202716823407 	 Accuracy: 0.9958202716823407
Top-40 Precision: 0.02489550679205822 	 Recall: 0.9958202716823407 	 Accuracy: 0.9958202716823407
Top-41 Precision: 0.024313785457603234 	 Recall: 0.9968652037617555 	 Accuracy: 0.9968652037617555
Top-42 Precision: 0.02375976513907593 	 Recall: 0.9979101358411703 	 Accuracy: 0.9979101358411703
Top-43 Precision: 0.023207212461422107 	 Recall: 0.9979101358411703 	 Accuracy: 0.9979101358411703
Top-44 Precision: 0.02270352427092277 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-45 Precision: 0.022199001509346266 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-46 Precision: 0.02171641452001259 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-47 Precision: 0.021276595744680618 	 Recall: 1.0 	 Accuracy: 1.0
Top-48 Precision: 0.020833333333333287 	 Recall: 1.0 	 Accuracy: 1.0
Top-49 Precision: 0.02040816326530615 	 Recall: 1.0 	 Accuracy: 1.0
Top-50 Precision: 0.019999999999999667 	 Recall: 1.0 	 Accuracy: 1.0

Results for model coca_ViT-L-14 - laion2b_s13b_b90k:
Top-1 Precision: 0.23510971786833856 	 Recall: 0.23510971786833856 	 Accuracy: 0.23510971786833856
Top-2 Precision: 0.21264367816091953 	 Recall: 0.42528735632183906 	 Accuracy: 0.42528735632183906
Top-3 Precision: 0.17624521072796978 	 Recall: 0.5287356321839081 	 Accuracy: 0.5287356321839081
Top-4 Precision: 0.1509926854754441 	 Recall: 0.6039707419017764 	 Accuracy: 0.6039707419017764
Top-5 Precision: 0.1301985370950901 	 Recall: 0.6509926854754441 	 Accuracy: 0.6509926854754441
Top-6 Precision: 0.11389759665621829 	 Recall: 0.6833855799373041 	 Accuracy: 0.6833855799373041
Top-7 Precision: 0.10135841170323893 	 Recall: 0.709508881922675 	 Accuracy: 0.709508881922675
Top-8 Precision: 0.09117032392894461 	 Recall: 0.7293625914315569 	 Accuracy: 0.7293625914315569
Top-9 Precision: 0.08382677348194723 	 Recall: 0.754440961337513 	 Accuracy: 0.754440961337513
Top-10 Precision: 0.0773249738766981 	 Recall: 0.7732497387669801 	 Accuracy: 0.7732497387669801
Top-11 Precision: 0.07419017763845454 	 Recall: 0.8160919540229885 	 Accuracy: 0.8160919540229885
Top-12 Precision: 0.0698362939742256 	 Recall: 0.8380355276907001 	 Accuracy: 0.8380355276907001
Top-13 Precision: 0.06623261795675718 	 Recall: 0.8610240334378265 	 Accuracy: 0.8610240334378265
Top-14 Precision: 0.06284520077623473 	 Recall: 0.8798328108672936 	 Accuracy: 0.8798328108672936
Top-15 Precision: 0.059979101358412924 	 Recall: 0.8996865203761756 	 Accuracy: 0.8996865203761756
Top-16 Precision: 0.0577324973876698 	 Recall: 0.9237199582027168 	 Accuracy: 0.9237199582027168
Top-17 Precision: 0.055012600651547 	 Recall: 0.93521421107628 	 Accuracy: 0.93521421107628
Top-18 Precision: 0.05253686288169143 	 Recall: 0.9456635318704284 	 Accuracy: 0.9456635318704284
Top-19 Precision: 0.05015673981191311 	 Recall: 0.9529780564263323 	 Accuracy: 0.9529780564263323
Top-20 Precision: 0.047857889237199094 	 Recall: 0.9571577847439916 	 Accuracy: 0.9571577847439916
Top-21 Precision: 0.04572821814201201 	 Recall: 0.9602925809822361 	 Accuracy: 0.9602925809822361
Top-22 Precision: 0.04412463189892729 	 Recall: 0.9707419017763845 	 Accuracy: 0.9707419017763845
