Results for model ViT-L-14-quickgelu - dfn2b:
Top-1 Precision: 0.29258098223615464 	 Recall: 0.29258098223615464 	 Accuracy: 0.29258098223615464
Top-2 Precision: 0.25182863113897597 	 Recall: 0.5036572622779519 	 Accuracy: 0.5036572622779519
Top-3 Precision: 0.20027864855451175 	 Recall: 0.6008359456635318 	 Accuracy: 0.6008359456635318
Top-4 Precision: 0.16222570532915362 	 Recall: 0.6489028213166145 	 Accuracy: 0.6489028213166145
Top-5 Precision: 0.13625914315569607 	 Recall: 0.6812957157784744 	 Accuracy: 0.6812957157784744
Top-6 Precision: 0.11929641239986177 	 Recall: 0.7157784743991641 	 Accuracy: 0.7157784743991641
Top-7 Precision: 0.10792655620241773 	 Recall: 0.7554858934169278 	 Accuracy: 0.7554858934169278
Top-8 Precision: 0.09809299895506791 	 Recall: 0.7847439916405433 	 Accuracy: 0.7847439916405433
Top-9 Precision: 0.09102519447347186 	 Recall: 0.819226750261233 	 Accuracy: 0.819226750261233
Top-10 Precision: 0.08557993730407484 	 Recall: 0.8557993730407524 	 Accuracy: 0.8557993730407524
Top-11 Precision: 0.07893986890852212 	 Recall: 0.8683385579937304 	 Accuracy: 0.8683385579937304
Top-12 Precision: 0.0735806339254619 	 Recall: 0.8829676071055381 	 Accuracy: 0.8829676071055381
Top-13 Precision: 0.06880475845993228 	 Recall: 0.8944618599791013 	 Accuracy: 0.8944618599791013
Top-14 Precision: 0.06530825496342678 	 Recall: 0.9143155694879833 	 Accuracy: 0.9143155694879833
Top-15 Precision: 0.06179031696273207 	 Recall: 0.9268547544409613 	 Accuracy: 0.9268547544409613
Top-16 Precision: 0.05890804597701149 	 Recall: 0.9425287356321839 	 Accuracy: 0.9425287356321839
Top-17 Precision: 0.05581166635933486 	 Recall: 0.9487983281086729 	 Accuracy: 0.9487983281086729
Top-18 Precision: 0.052885173574829726 	 Recall: 0.9519331243469175 	 Accuracy: 0.9519331243469175
Top-19 Precision: 0.05021173623714547 	 Recall: 0.9540229885057471 	 Accuracy: 0.9540229885057471
Top-20 Precision: 0.047910135841169835 	 Recall: 0.9582027168234065 	 Accuracy: 0.9582027168234065
Top-21 Precision: 0.04562870080111535 	 Recall: 0.9582027168234065 	 Accuracy: 0.9582027168234065
Top-22 Precision: 0.04355466894651918 	 Recall: 0.9582027168234065 	 Accuracy: 0.9582027168234065
Top-23 Precision: 0.04179728317659335 	 Recall: 0.9613375130616509 	 Accuracy: 0.9613375130616509
Top-24 Precision: 0.04005572971090213 	 Recall: 0.9613375130616509 	 Accuracy: 0.9613375130616509
Top-25 Precision: 0.038453500522465406 	 Recall: 0.9613375130616509 	 Accuracy: 0.9613375130616509
Top-26 Precision: 0.03697451973314123 	 Recall: 0.9613375130616509 	 Accuracy: 0.9613375130616509
Top-27 Precision: 0.03575989782886375 	 Recall: 0.9655172413793104 	 Accuracy: 0.9655172413793104
Top-28 Precision: 0.03463203463203428 	 Recall: 0.9696969696969697 	 Accuracy: 0.9696969696969697
Top-29 Precision: 0.03361798724462271 	 Recall: 0.9749216300940439 	 Accuracy: 0.9749216300940439
Top-30 Precision: 0.03253221873911603 	 Recall: 0.9759665621734587 	 Accuracy: 0.9759665621734587
Top-31 Precision: 0.031482792328175885 	 Recall: 0.9759665621734587 	 Accuracy: 0.9759665621734587
Top-32 Precision: 0.030596917450365725 	 Recall: 0.9791013584117032 	 Accuracy: 0.9791013584117032
